name,lat,lon
NPHC Makanpur,26901599,79976660
Girshi,26256976,80015946
Jageshwar Hospital,26449648,80308889
Phc hospital jagatnagar,26883112,80134874
"PHC,Gujrai",26308291,79960313
NPHC NONARI,26472001,79773065
"CHC,Bidhnu",26318317,80273233
CHC Rasoolabad,26667225,79785323
PHC Sarwankhera,26346903,80102786
New PHC Kanjora,26649274,80382750
Primary Health Center Amaur,26247834,80370877
Maitha PHC,26532096,80051767
PHC Baraigarh,26217431,80375697
PHC Malasa,26271304,79939355
PHC Reona,26195206,80039415
PHC Shuklaganj,26479931,80386441
Madauli PHC,26481270,79987752
Jarsen PHC,26205751,79988797
"PHC,Aung",26152622,80566829
Musanagar Government Hospital,26167293,79968284
Government Hospital Daorahat Bangar,26120677,79864125
Rurgaon NPHC,26245969,79761514
Gajner CHC,26280003,80059520
MANYAWAR KASHIRAM HOSPITAL,26414490,80381512
"CHC,Pukhrayan",26224363,79840739
"PHC,Deomai",26136867,80462740
Government Hospital Safipur-Barikheda,26739871,80349318
Government hospital,26421312,80392077
"PHC,Kathara - 1",26304181,80234601
Aunaha NPHC,26632474,79950091
UHM MALE HOSPITAL,26472754,80348935
BLBhalla Hospital Babupur,26442366,80340014
Chacha Nehru Hospital Koparganj,26459347,80343997
Primary Health Center Bhauti,26447638,80193426
Banipara NPHC,26542962,79871184
New PHC Ugu,26793844,80325418
Government Hospital Ashayas,26937371,80308135
PHC Kaitha,26112322,80294247
Ursan PHC,26381654,79741204
KALYANPUR CHC,26498289,80238125
"PHC,Koriyana",26093593,80213542
"PHC,Fatehpur",26795224,80272314
Ganj Muradabad PHC Main,26957971,80185541
PHC SACHENDI,26429659,80185762
"PHC,AUROTAHARPUR",26785707,80005339
"Urban Health Centre, Babupurwa",26440336,80340367
"New PHC,Meharban Kheda",26404882,80682085
"CHC,Bangarmau (Main Centre)",26894278,80213398
"PHC,Amraudha",26195622,79779481
NPHC Kalyanpur Purani,26514778,80255346
PHC Nawabganj Main Centre,26622081,80675751
"PHC,Hilauli",26653565,80635515
PHC Bighapur (Main Centre),26330245,80677774
"PHC,Auser",26818114,79795523
"Community Health Centre, Derapur",26422039,79797530
Government. Hospital,26924322,80712922
Hathipur,26331757,80459520
Ganesh Hospital,26434805,80301569
Ram Hospital,26416130,80296992
Dhanvantri Hospital,26421134,80318040
Galaxy Hospital,26480919,80245945
Narayan Hospital,26496530,80253528
Reenadeep Woman & Child Care Centre,26446065,80292013
"Sai Eye Hospital, Govind Nagar",26452024,80306825
Royal Children's Hospital,26423569,80320142
Mahendru Hospital,26478903,80304545
Abhinav Nursing Home Hospital,26490861,80250882
Asg Eye Hospital,26464340,80302469
Chandra Hospital,26429204,80302101
Arogya Hospital,26467618,80248771
Tirupati Hospital,26490033,80246573
Drishti Hospital,26436323,80303994
Kabira Hospital,26442048,80297735
Shraddha Hospital,26441209,80293163
Raunak Hospital,26408291,80322600
"ESI Hospital, Kanpur",26425111,80326360
Mandakini Hospital,26422629,80302848
Swaraj Hospital,26476230,80286842
Amogh Hospital,26428073,80320868
Aashvi Hospital,26440773,80299360
Jeewan Jyoti Hospital,26434124,80301633
Samarpan Hospital,26477992,80244155
Apex Hospital,26484472,80250806
H2O Life Care Hospital,26484082,80244614
Jagrati Hospital,26396746,80323418
Kanha Hospital,26496557,80243695
Bmg Hospital,26439555,80310815
Shri Jairam Hospital & Trauma Centre,26435463,80287410
Regency Renal Sciences Centre,26479355,80316069
Maa Jwala Hospital and Trauma Centre,26494745,80254754
Ansh Hospital,26492766,80252764
Shiv Hospital,26493908,80249021
Sis Hospital,26484863,80256276
Shaurya Hospital,26498069,80240519
Ofc Hospital Armapur,26465544,80261962
Maa Vindhyeshwari Hospital,26438068,80271411
Merigold Hospital,26471595,80242583
Krishna Hospital,26496622,80252990
Guru Nanak Hospital,26466834,80306583
Ppm Hospital,26435452,80308916
New Angel Hospital & Research Centre,26427192,80335067
"The Panacea Hospital, Kanpur",26473978,80293236
Sagh Hospital,26450662,80306327
Anuradha Hospital,26415158,80319435
McRobert Memorial Hospital,26481199,80343604
Regency Hospital,26448614,80309048
Ma Hospital,26429859,80289873
Dr. Murari Lal Chest Hospital,26482039,80303210
Nostrum Hospital,26436185,80273083
SPM Hospital,26424901,80303751
ESI Hospital,26464798,80306096
South City Hospital & Trauma Centre,26413303,80298816
Shifa Hospital,26397013,80328639
Vatsalya Hospital,26496054,80252123
Ramraj Hospital and Trauma Centre,26392957,80317122
Indian Hospital,26440595,80281260
Amba Hospital,26478226,80348621
Angel Hospital,26433421,80314519
Mannat Hospital,26388189,80309527
Mansrovar Medical Centre Hospital,26434555,80302731
Khushi Hospital,26432604,80297997
Emerald Hospital,26429458,80330011
City Hospital,26443451,80286484
South Hospital,26442346,80293807
S. S. Hospital,26394380,80312892
Chandra Hospital,26440292,80279681
Sis Hospital & Research Centre,26484217,80256000
Shanti Mission Hospital,26412936,80324669
Vimal Hospital,26441249,80320893
C L Memorial Hospital,26463779,80296615
Jaigurudev Hospital,26404195,80303340
Shivansh Hospital,26463327,80243571
Gaytri Nursing Home,26438296,80333381
Pulse Hospital,26494955,80249559
J K Hospital,26411717,80332896
Sahyog Hospital,26393943,80311879
Sunrise Hospital,26485006,80248941
Ganga Devi Hospital,26429673,80301271
Bima Hospital,26473102,80295996
Bliss Hospital,26429882,80290190
Uttam Hospital and Trauma Centre,26388799,80313030
New City Hospital,26437315,80282688
Chanda Hospital,26482686,80281182
Saine Hospital,26489764,80265679
Dr. Ram Shankar Smarak Hospital,26475334,80286044
"Krishna Hospital, Kanpur",26390296,80311633
Merrygold Hospital,26462290,80244649
E S I Hospital,26475830,80300528
Shrey Hospital & Trauma Centre,26477304,80272599
Swastik Surgical and Maternity Centre,26416405,80328164
Delight Hospital,26474269,80283790
Satya Eye Hospital,26399830,80314652
The Expert Hospital,26394850,80313115
Hari Hospital,26451276,80300419
Anurag Hospital,26483265,80287547
Anil Memorial Hospital,26397227,80314681
Sanjeevani Hospital,26429841,80292188
Ursala Hospital,26472315,80350531
Parivar Kalyan Seva Sanstha Hospital,26436395,80286314
R.U. Charitable Hospital,26418948,80313371
Seva Chandra Prabha Hospital,26431326,80296905
Sakshi Hospital,26488381,80246312
Udai Hospital,26414795,80300511
Bhaupur,26468705,80124893
Maitha,26476277,80025444
Patra,26481394,79958691
Rura,26485293,79908047
Unnao Junction,26549238,80487437
Kanpur Central,26454907,80351054
Kanpur Central,26454743,80351118
Kanpur Central,26454673,80351137
Kanpur Central,26454536,80351161
Kanpur Central,26454496,80351177
Kanpur Central,26454359,80351217
Kanpur Central,26454273,80351241
Kanpur Central,26454133,80351276
Kanpur Central,26454092,80351289
Hospital,26475314,80286099
Bus Stop,26477386,80283194
hospital,26472975,80292589
Magarwara,26524540,80431228
Harauni,26706608,80748136
"SubCentre, Karaunsa",26340018,79915507
"SubCentre, Rura",26484486,79900064
"CHC, Derapur",26419934,79797232
"SubCentre, Bhognipur",26205629,79815386
"SubCentre, Kalla",26238612,79809097
House of Hobbit,26446403,80285729
Defence ofiicer's Club,26455742,80362712
Police Station Kanpur Cantonment,26454188,80364263
"Primary Health Centre, Tari Pathakpur",26665654,80190130
"Primary Health Centre, Rajarampur",26654987,80223825
"Primary Health Centre, Bansathi",26570029,80151766
"Urban Health Centre, Benajhawar",26476731,80328292
"Urban Health Centre, Darshanpurwa",26463177,80320756
"Urban Health Centre, Dhansinghpur",26419293,80322237
"Urban Health Centre, Juhi Lal Colony",26438633,80317126
"Urban Health Centre, Faithfulganj",26449377,80357348
"Urban Health Centre, Maswanpur",26485103,80262217
"Urban Health Centre, Nehru Nagar",26472220,80324138
"Urban Health Centre, Sujatganj",26433640,80353492
"Urban Health Centre, Usmanpur",26428026,80315567
"Urban Health Centre, Dhobhighat",26464103,80289259
"Urban Health Centre, Jarouli",26421675,80290392
"Urban Health Centre, Khyora",26505285,80300310
"Urban Health Centre, Gwaltoli",26487171,80330733
"Urban Health Centre, Raipurwa",26462555,80329641
"Urban Health Centre, Anwar Ganj",26456932,80327989
"Urban Health Centre, Gujaini",26440026,80282698
"Urban Health Centre, Kidwai Nagar",26426414,80330515
"Urban Health Centre, Nawabganj",26495715,80311270
"Urban Health Centre, Humayunbagh",26469465,80336603
"Urban Health Centre, Gangapur",26397473,80339336
"Urban Health Centre, Barra",26428062,80300279
"Urban Health Centre, Jaiprakash Nagar",26434827,80299254
"Urban Health Centre, Jajmau",26430556,80400892
"Urban Health Centre, Naubasta",26417990,80314136
"Urban Health Centre, Premnagar",26467703,80330151
"Urban Health Centre, Rawatpur Gaon",26476483,80281259
"Urban Health Centre, Sajari",26385658,80379849
"Urban Health Centre, Sisamau",26469817,80327857
"SubCentre, Bharthipur",26224527,80665499
"SubCentre, Rupau",26616957,80524529
"SubCentre, Nandna",26243523,80110804
"SubCentre, Gauri",26691125,80678853
"SubCentre, Nevada Mahasaran",26659811,80140109
"SubCentre, Khair Nagar",26873250,79794539
"SubCentre, Mathurapur",26085269,80418328
"SubCentre, Palhepur",26268458,80401433
"SubCentre, Targaon",26535292,80603332
"SubCentre, Shahjhanpur",26265819,79733167
"SubCentre, Kudhawal",26401515,79760347
"SubCentre, Udetpur",26629238,80240426
"Community Health Centre, Miyaganj",26797570,80493867
"SubCentre, Hasanapur",26455391,79905948
"SubCentre, Lalpur",26709093,80649352
"SubCentre, Kishaura",26591448,79758133
"SubCentre, Goshalalpur",26876320,80661748
"SubCentre, Khera Kursi",26687187,79969888
"SubCentre, Jar Gaon",26523986,80616581
"Primary Health Centre, Baragaon Bhikkhi",26457880,79823664
Gurudev Chauraha,26491574,80284369
Agriculture University Depot (Line-2),26487282,80309071
Agriculture University Station,26486591,80305788
Kendranchal Station,26423311,80319500
Bada Chauraha,26472689,80352397
Vishwavidyalaya,26496489,80267272
Polytechnic Depot (Line-1),26492698,80292012
Baudh Nagar Station,26409023,80317086
Govind Nagar Station,26451440,80294866
Rania Station,26435224,80322761
Rawatpur,26482866,80300073
Vijay Nagar,26462313,80293965
Naubasta Station,26401883,80314350
Naveen Market,26474067,80345447
Geeta Nagar,26487022,80292105
SPM Hospital,26498895,80258900
Jarauli Station,26419698,80289244
Pashupati Nagar Station,26415547,80317955
Transport Nagar Station,26445215,80328683
IIT Kanpur,26509207,80248311
Chunniganj,26477039,80337069
Barra-8 Station,26429460,80290403
Kakadeo Station,26473550,80292978
Jhakarkati Bus Terminal Station,26450436,80340464
Nayaganj,26464159,80359504
LLR Hospital,26479265,80311601
"SubCentre, Matiamau",26434663,80017935
"SubCentre, Dalelpur",26843763,79965937
"SubCentre, Sherpur",26889484,80359821
"SubCentre, Jithrauli",26307964,80080263
"SubCentre, Kamalpur",26681376,80008809
"SubCentre, Kudihna",26874101,79767670
"SubCentre, Bhausana",26639381,80086762
"SubCentre, Bawan",26063564,80214665
"Urban Health Centre, Brahmanagar",26475118,80392520
"SubCentre, Lakhnapur",26129486,79818420
"SubCentre, Subhauli",26340680,80427387
"SubCentre, Pasema",26186472,80275090
"SubCentre, Halpura",26921455,80002426
"SubCentre, Padri Kalan",26467867,80647584
"SubCentre, Baraichamau",26656176,80179962
"SubCentre, Bahadurpur",26673847,79829868
"SubCentre, Deeh",26514217,80490327
"SubCentre, Nauranga",26126755,80247296
"SubCentre, Simaramau",26566121,79879288
"SubCentre, Pawai",26639512,80499175
"SubCentre, Dharmangadpur",26065105,80151071
"SubCentre, Senpaschim Para",26377041,80297625
"SubCentre, Kahinjhari",26610855,79898969
"SubCentre, Kandhi",26350992,79740595
"SubCentre, Kailai",26299186,79890405
"SubCentre, Hathigaon",26264150,80465668
"SubCentre, Panki",26465437,80228849
"SubCentre, Jahangirabad",26194318,80177608
"SubCentre, Kora Jahanabad",26100678,80365107
"SubCentre, Kumbhi",26375928,79868037
"SubCentre, Biramau",26685926,80060889
"SubCentre, Dipwal",26902145,80431606
"SubCentre, Mohammadpur",26293143,79910827
"SubCentre, Angadpur",26636506,79867499
"SubCentre, Aher",26940760,79763089
"SubCentre, Madokipur",26118343,80629915
"SubCentre, Patahkpur",26810843,80533682
"SubCentre, Hirni",26217613,80201755
"SubCentre, Bauhar",26131270,80333839
"Primary Health Centre, Nadeeha Bujurg",26704489,80037727
"SubCentre, Birhar",26165484,80341236
"SubCentre, Khama",26920617,79837275
"SubCentre, Saibasoo",26785440,80096847
"SubCentre, Padhara",26120201,80516797
"SubCentre, Seodhari",26204155,80102971
"SubCentre, Munda",26814400,80359301
"SubCentre, Sherpurmau",26868691,80695186
"SubCentre, Balanpur",26924427,79749110
"Primary Health Centre, Narwal",26235479,80431022
