type,id,name,lat,lon
node,7035713912,Brij Medical Centre,26463373,80243633
node,7036094644,Annapurna Nursing Home,26409550,80328567
node,7036399734,Muskan Ortho and Maternity Centre,26553776,80504860
node,7037362571,G.S.V.M. Medical College,26481019,80307528
node,7037707478,Dr. Jawaharlal Rohatgi Smarak Netra Chikitsalaya,26447804,80303913
node,7037751998,Saral Nursing Home,26423046,80388273
node,7037994532,Dr Lalchandani E N T and Laser Center,26479504,80314271
node,7038310632,"CGHS Dispensary, R.K.Nagar",26470663,80319640
node,7038714304,Excel Hospital,26480551,80337283
node,7039945302,"CHC, Terwa",26957333,79788883
node,7039962697,Apex Hospital and Research Centre,26484027,80249700
node,7039962989,Eye-Q Super Speciality Eye Hospitals,26479229,80314030
node,7065213786,New Suparsh Provision Store,26511429,80236190
node,7098701142,Bighapur,26347921,80656771
node,7108657166,siddharth nagar society pqrk,26504598,80245545
node,7157016731,"CHC,Chaubeypur",26618449,80186884
node,7157043232,Primary Health Center Majhawan,26304268,80315315
node,7164457003,Paharipur NPHC,26656913,79832899
node,7164632158,CHC Hasanganj,26773611,80631455
node,7164793661,KPM Hospital,26465665,80358394
node,7165133477,Bararur NPHC,26316905,79844690
node,7167157724,CHC,26685817,80141208
node,7167188012,"CHC,Patara",26233524,80195580
node,7167188041,"Goverment hospital,THATHIYA",26922248,79894497
node,7167606141,CHC Jhinjhak,26566896,79751767
node,7167853650,CHC Ghatampur,26149725,80163147
node,7167993733,Uma Shanker Male Hospital,26538249,80478459
node,7167993742,NPHC Makanpur,26901599,79976660
node,7168013251,Girshi,26256976,80015946
node,7168013271,Jageshwar Hospital,26449648,80308889
node,7169887117,Phc hospital jagatnagar,26883112,80134874
node,7169961847,"PHC,Gujrai",26308291,79960313
node,7169961957,NPHC NONARI,26472001,79773065
node,7169962228,"CHC,Bidhnu",26318317,80273233
node,7170336150,CHC Rasoolabad,26667225,79785323
node,7170597886,PHC Sarwankhera,26346903,80102786
node,7171804607,New PHC Kanjora,26649274,80382750
node,7172783872,Primary Health Center Amaur,26247834,80370877
node,7172896858,Maitha PHC,26532096,80051767
node,7175677458,PHC Baraigarh,26217431,80375697
node,7175942240,PHC Malasa,26271304,79939355
node,7176145532,PHC Reona,26195206,80039415
node,7176318544,PHC Shuklaganj,26479931,80386441
node,7176318584,Madauli PHC,26481270,79987752
node,7177219716,Jarsen PHC,26205751,79988797
node,7177238807,"PHC,Aung",26152622,80566829
node,7177343154,Musanagar Government Hospital,26167293,79968284
node,7177343183,Government Hospital Daorahat Bangar,26120677,79864125
node,7177546898,Rurgaon NPHC,26245969,79761514
node,7184011416,Gajner CHC,26280003,80059520
node,7184011469,MANYAWAR KASHIRAM HOSPITAL,26414490,80381512
node,7184125575,"CHC,Pukhrayan",26224363,79840739
node,7184125781,"PHC,Deomai",26136867,80462740
node,7184619841,Government Hospital Safipur-Barikheda,26739871,80349318
node,7184837507,Government hospital,26421312,80392077
node,7187781217,"PHC,Kathara - 1",26304181,80234601
node,7187781240,Aunaha NPHC,26632474,79950091
node,7187945518,UHM MALE HOSPITAL,26472754,80348935
node,7187945657,BLBhalla Hospital Babupur,26442366,80340014
node,7188330852,Chacha Nehru Hospital Koparganj,26459347,80343997
node,7188331110,Primary Health Center Bhauti,26447638,80193426
node,7188331177,Banipara NPHC,26542962,79871184
node,7188358286,New PHC Ugu,26793844,80325418
node,7189353765,Government Hospital Ashayas,26937371,80308135
node,7189876369,PHC Kaitha,26112322,80294247
node,7190050628,Ursan PHC,26381654,79741204
node,7190751874,KALYANPUR CHC,26498289,80238125
node,7191515450,"PHC,Koriyana",26093593,80213542
node,7191515476,"PHC,Fatehpur",26795224,80272314
node,7191515719,Ganj Muradabad PHC Main,26957971,80185541
node,7192974620,PHC SACHENDI,26429659,80185762
node,7193586572,"PHC,AUROTAHARPUR",26785707,80005339
node,7200970114,"Urban Health Centre, Babupurwa",26440336,80340367
node,7201093338,"New PHC,Meharban Kheda",26404882,80682085
node,7201101707,"CHC,Bangarmau (Main Centre)",26894278,80213398
node,7203232245,"PHC,Amraudha",26195622,79779481
node,7203302410,NPHC Kalyanpur Purani,26514778,80255346
node,7203643899,PHC Nawabganj Main Centre,26622081,80675751
node,7203877687,"PHC,Hilauli",26653565,80635515
node,7203919113,PHC Bighapur (Main Centre),26330245,80677774
node,7204041525,"PHC,Auser",26818114,79795523
node,7204041898,"Community Health Centre, Derapur",26422039,79797530
node,7204046392,Government. Hospital,26924322,80712922
node,7205453355,Hathipur,26331757,80459520
node,7506643185,Ganesh Hospital,26434805,80301569
node,7506643186,Ram Hospital,26416130,80296992
node,7506643187,Dhanvantri Hospital,26421134,80318040
node,7506643188,Galaxy Hospital,26480919,80245945
node,7506643189,Narayan Hospital,26496530,80253528
node,7506643190,Reenadeep Woman & Child Care Centre,26446065,80292013
node,7506643191,"Sai Eye Hospital, Govind Nagar",26452024,80306825
node,7506643192,Royal Children's Hospital,26423569,80320142
node,7506643193,Mahendru Hospital,26478903,80304545
node,7506643194,Abhinav Nursing Home Hospital,26490861,80250882
node,7506643195,Asg Eye Hospital,26464340,80302469
node,7506643196,Chandra Hospital,26429204,80302101
node,7506643197,Arogya Hospital,26467618,80248771
node,7506643198,Tirupati Hospital,26490033,80246573
node,7506643199,Drishti Hospital,26436323,80303994
node,7506643200,Kabira Hospital,26442048,80297735
node,7506643201,Shraddha Hospital,26441209,80293163
node,7506643202,Raunak Hospital,26408291,80322600
node,7506643203,"ESI Hospital, Kanpur",26425111,80326360
node,7506643204,Mandakini Hospital,26422629,80302848
node,7506643205,Swaraj Hospital,26476230,80286842
node,7506643206,Amogh Hospital,26428073,80320868
node,7506643207,Aashvi Hospital,26440773,80299360
node,7506643208,Jeewan Jyoti Hospital,26434124,80301633
node,7506643209,Samarpan Hospital,26477992,80244155
node,7506643210,Apex Hospital,26484472,80250806
node,7506643212,H2O Life Care Hospital,26484082,80244614
node,7506643213,Jagrati Hospital,26396746,80323418
node,7506643214,Kanha Hospital,26496557,80243695
node,7506643215,Bmg Hospital,26439555,80310815
node,7506643216,Shri Jairam Hospital & Trauma Centre,26435463,80287410
node,7506643217,Regency Renal Sciences Centre,26479355,80316069
node,7506643218,Maa Jwala Hospital and Trauma Centre,26494745,80254754
node,7506643219,Ansh Hospital,26492766,80252764
node,7506643220,Shiv Hospital,26493908,80249021
node,7506643221,Sis Hospital,26484863,80256276
node,7506643222,Shaurya Hospital,26498069,80240519
node,7506643223,Ofc Hospital Armapur,26465544,80261962
node,7506643224,Maa Vindhyeshwari Hospital,26438068,80271411
node,7506643225,Merigold Hospital,26471595,80242583
node,7506643226,Krishna Hospital,26496622,80252990
node,7506643227,Guru Nanak Hospital,26466834,80306583
node,7506643228,Ppm Hospital,26435452,80308916
node,7506643229,New Angel Hospital & Research Centre,26427192,80335067
node,7506643230,"The Panacea Hospital, Kanpur",26473978,80293236
node,7506643231,Sagh Hospital,26450662,80306327
node,7506643232,Anuradha Hospital,26415158,80319435
node,7506643233,McRobert Memorial Hospital,26481199,80343604
node,7506643234,Regency Hospital,26448614,80309048
node,7506643235,Ma Hospital,26429859,80289873
node,7506643236,Dr. Murari Lal Chest Hospital,26482039,80303210
node,7506643237,Nostrum Hospital,26436185,80273083
node,7506643238,SPM Hospital,26424901,80303751
node,7506643239,ESI Hospital,26464798,80306096
node,7506643240,South City Hospital & Trauma Centre,26413303,80298816
node,7506643241,Shifa Hospital,26397013,80328639
node,7506643242,Vatsalya Hospital,26496054,80252123
node,7506643243,Ramraj Hospital and Trauma Centre,26392957,80317122
node,7506643244,Indian Hospital,26440595,80281260
node,7506643246,Amba Hospital,26478226,80348621
node,7506643247,Angel Hospital,26433421,80314519
node,7506643248,Mannat Hospital,26388189,80309527
node,7506643249,Mansrovar Medical Centre Hospital,26434555,80302731
node,7506643250,Khushi Hospital,26432604,80297997
node,7506643251,Emerald Hospital,26429458,80330011
node,7506643252,City Hospital,26443451,80286484
node,7506643253,South Hospital,26442346,80293807
node,7506643254,S. S. Hospital,26394380,80312892
node,7506643255,Chandra Hospital,26440292,80279681
node,7506643256,Sis Hospital & Research Centre,26484217,80256000
node,7506643257,Shanti Mission Hospital,26412936,80324669
node,7506643258,Vimal Hospital,26441249,80320893
node,7506643259,C L Memorial Hospital,26463779,80296615
node,7506643260,Jaigurudev Hospital,26404195,80303340
node,7506643262,Shivansh Hospital,26463327,80243571
node,7506643263,Gaytri Nursing Home,26438296,80333381
node,7506643264,Pulse Hospital,26494955,80249559
node,7506643265,J K Hospital,26411717,80332896
node,7506643266,Sahyog Hospital,26393943,80311879
node,7506643267,Sunrise Hospital,26485006,80248941
node,7506643268,Ganga Devi Hospital,26429673,80301271
node,7506643269,Bima Hospital,26473102,80295996
node,7506643270,Bliss Hospital,26429882,80290190
node,7506643271,Uttam Hospital and Trauma Centre,26388799,80313030
node,7506643273,New City Hospital,26437315,80282688
node,7506643274,Chanda Hospital,26482686,80281182
